Фрукты и ягоды-Грейпфрут;89;0.9;0;7.3;-35;60;0;0.02;0.04;0.02;0.2;0;0;0;0;0;0;0;13;184;23;10;18;0.5;0
Фрукты и ягоды-Ежевика;88;2;0;5.3;-33;15;0;0.1;0.01;0.05;0.4;0;0;0;0;0;0;0;21;208;30;29;32;1;0
Фрукты и ягоды-Земляника;84.5;1.8;0;8.1;-41;60;0;0.03;0.03;0.05;0.3;0;0;0;0;0;0;0;18;161;40;18;23;1;0
Фрукты и ягоды-Инжир;83;0.7;0;13.9;-56;2;0;0.05;0.06;0.05;0.5;0;0;0;0;0;0;0;18;190;0;0;0;3;0
Фрукты и ягоды-Клюква;89.5;0.5;0;4.8;-28;15;0;0;0.02;0.02;0.15;0;0;0;0;0;0;0;12;119;14;8;11;0.6;0
Фрукты и ягоды-Крыжовник;85;0.7;0;9.9;-44;30;0;0.2;0.01;0.02;0.25;0;0;0;0;0;0;0;23;260;22;8;11;0.6;0
Фрукты и ягоды-Лимон;87.7;0.9;0;3.6;-31;40;0;0.01;0.04;0.02;0.1;0;0;0;0;0;0;0;11;163;40;12;22;0.6;0
Фрукты и ягоды-Малина;87;0.8;0;9;-41;25;0;0.2;0.02;0.05;0.6;0;0;0;0;0;0;0;19;224;40;22;37;1.6;0
Фрукты и ягоды-Мандарин;88.5;0.8;0;8.6;-38;38;0;0.06;0.06;0.03;0.2;0;0;0;0;0;0;0;12;155;35;11;17;0.1;0
Фрукты и ягоды-Облепиха;75;0.9;0;5.5;-30;200;0;10;0.1;0.05;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Фрукты и ягоды-Персики;86.5;0.9;0;10.4;-44;10;0;0.5;0.04;0.01;0.7;0;0;0;0;0;0;0;0;363;20;16;34;4;0
Фрукты и ягоды-Рябина садовая;81;1.4;0;12.5;-58;70;0;9;0.05;0.02;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Фрукты и ягоды-Рябина черноплодная;80.5;1.5;0;12;-54;15;0;1.2;0.01;0.02;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Фрукты и ягоды-Слива садовая;87;0.8;0;9.9;-43;10;0;0.1;0.06;0.04;0.6;0;0;0;0;0;0;0;18;214;28;17;27;2;0
Фрукты и ягоды-Смородина черная;85;1;0;8;-40;200;0;0.1;0.02;0.02;0.3;0;0;0;0;0;0;0;32;372;36;35;33;1;0
Фрукты и ягоды-Финики;20;2.5;0;72.1;-281;0.3;0;0;0.05;0.05;0.6;0;0;0;0;0;0;0;32;370;65;69;56;2;0
Фрукты и ягоды-Хурма;81.5;0.5;0;15.9;-62;15;0;1.2;0.02;0.03;0.2;0;0;0;0;0;0;0;15;200;127;56;42;2;0
Фрукты и ягоды-Черешня;85;1.1;0;12.3;-52;15;0;0.15;0.01;0.01;0.4;0;0;0;0;0;0;0;13;233;33;24;28;2;0
Фрукты и ягоды-Черника;86.5;1.1;0;8.6;-40;10;0;0;0.01;0.02;0.3;0;0;0;0;0;0;0;6;51;16;6;13;7;0
Фрукты и ягоды-Шиповник свежий;66;1.6;0;24;-101;470;0;2.6;0.05;0.33;0.6;0;0;0;0;0;0;0;5;23;26;8;8;11;0
Фрукты и ягоды-Шиповник сушеный;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Хлеб. хлебобулочные изделия. мука-Хлеб пшеничный из муки I сорта;34.3;7.7;2.4;53.4;-254;0;0;0;0.21;0.12;2.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
